Nombre de la enfermedad,Tratamiento,Síntomas,Breve descripción
Migraña,Analgésicos como paracetamol o ibuprofeno; medicamentos específicos como triptanes; cambios en el estilo de vida para evitar desencadenantes.,"Dolor de cabeza intenso y pulsátil, generalmente en un lado de la cabeza; náuseas; vómitos; sensibilidad a la luz y al sonido.",Trastorno neurológico caracterizado por episodios recurrentes de dolor de cabeza moderado a severo.
Faringitis,"Gárgaras con agua salada; analgésicos como paracetamol o ibuprofeno; en casos bacterianos, antibióticos como penicilina.",Dolor de garganta; dificultad para tragar; amígdalas inflamadas y enrojecidas; fiebre.,"Inflamación de la faringe, comúnmente causada por infecciones virales o bacterianas."
Gastritis,"Antiácidos; inhibidores de la bomba de protones; evitar alimentos irritantes; en casos de infección por H. pylori, antibióticos.",Dolor o molestia en la parte superior del abdomen; náuseas; vómitos; sensación de saciedad después de comer.,Inflamación de la mucosa del estómago que puede ser aguda o crónica.
Amigdalitis,"Reposo; hidratación; analgésicos; en casos bacterianos, antibióticos.","Dolor de garganta severo; dificultad para tragar; fiebre; amígdalas rojas e inflamadas, a veces con manchas blancas.","Inflamación de las amígdalas, generalmente causada por infecciones virales o bacterianas."
Sinusitis,"Descongestionantes; analgésicos; en algunos casos, antibióticos; irrigación nasal con solución salina.",Dolor o presión facial; congestión nasal; secreción nasal espesa; disminución del sentido del olfato.,"Inflamación de los senos paranasales, que puede ser causada por infecciones, alergias o irritantes."
Bronquitis,"Reposo; hidratación; medicamentos para aliviar la tos; en casos bacterianos, antibióticos.",Tos persistente que produce moco; sibilancias; fiebre baja; presión o molestia en el pecho.,"Inflamación de los bronquios que transportan el aire hacia los pulmones, puede ser aguda o crónica."
Otitis Media,"Analgésicos para el dolor; en casos bacterianos, antibióticos; en casos severos, drenaje del líquido acumulado.",Dolor de oído; dificultad para oír; fiebre; irritabilidad en niños pequeños.,"Infección del oído medio, común en niños, que puede causar dolor y, en algunos casos, pérdida temporal de la audición."
Conjuntivitis,"Compresas frías; lágrimas artificiales; en casos bacterianos, antibióticos tópicos.",Enrojecimiento ocular; picazón; secreción; lagrimeo.,"Inflamación de la conjuntiva ocular, comúnmente causada por infecciones o alergias."
Dermatitis,Cremas corticosteroides; antihistamínicos para la picazón; evitar el contacto con irritantes.,Enrojecimiento; picazón; ampollas en la piel; descamación.,Inflamación de la piel causada por contacto directo con una sustancia irritante o alérgeno.
Cistitis,Antibióticos prescritos por un médico; aumento de la ingesta de líquidos.,Dolor o ardor al orinar; necesidad frecuente de orinar; orina turbia o con mal olor.,"Infección de la vejiga urinaria, más común en mujeres, que causa inflamación y síntomas urinarios."
Gripe Común,Reposo; hidratación; medicamentos de venta libre para aliviar síntomas como congestión y dolor.,Congestión o secreción nasal; estornudos; dolor de garganta; tos; dolor de cabeza leve; fiebre baja.,"Infección viral del tracto respiratorio superior, generalmente leve, pero puede ser más grave en personas con sistemas inmunitarios debilitados."
Influenza,Antivirales como oseltamivir; reposo; hidratación; medicamentos para aliviar síntomas como fiebre y dolor.,Fiebre alta; escalofríos; tos seca; dolor de cabeza; dolores musculares y fatiga.,Enfermedad respiratoria contagiosa causada por el virus de la influenza.
Neumonía,"Antibióticos para infecciones bacterianas; antivirales para infecciones virales; reposo; hidratación; en casos graves, hospitalización.",Fiebre alta; escalofríos; tos con flema; dolor en el pecho al respirar o toser; dificultad para respirar; fatiga.,"Infección que inflama los sacos de aire en uno o ambos pulmones, que pueden llenarse de líquido o pus."
Asma,Broncodilatadores de acción rápida para alivio inmediato; corticosteroides inhalados para control a largo plazo; evitar desencadenantes.,"Dificultad para respirar; opresión en el pecho; sibilancias; tos, especialmente en la noche o temprano en la mañana.","Enfermedad crónica que inflama y estrecha las vías respiratorias, causando episodios recurrentes de sibilancias y dificultad respiratoria."
Diabetes Tipo 2,Antidiabéticos orales o insulina; dieta equilibrada; ejercicio regular.,Aumento de la sed y el hambre; micción frecuente; fatiga; visión borrosa.,Trastorno metabólico caracterizado por niveles elevados de glucosa en sangre debido a una resistencia a la insulina o una producción insuficiente de esta.
Hipertensión Arterial,Medicamentos antihipertensivos; cambios en el estilo de vida como dieta baja en sal y ejercicio regular.,"Generalmente asintomática; en casos severos, dolor de cabeza; mareos; visión borrosa.",Elevación persistente de la presión arterial que puede conducir a complicaciones cardiovasculares si no se controla adecuadamente.
Úlcera Péptica,Inhibidores de la bomba de protones; antibióticos si hay infección por H. pylori; evitar alimentos irritantes y el uso de AINEs.,Dolor ardiente en el abdomen que puede mejorar al comer; náuseas; pérdida de peso; hinchazón.,Lesiones abiertas que se desarrollan en el revestimiento interno del estómago o la parte superior del intestino delgado.
Anemia por Deficiencia de Hierro,Suplementos de hierro; dieta rica en hierro; tratamiento de la causa subyacente.,"Fatiga, palidez, debilidad, dificultad para concentrarse.",Disminución de glóbulos rojos o hemoglobina debido a una ingesta insuficiente de hierro.
Dermatofitosis (Tiña),Antifúngicos tópicos u orales según la extensión; mantener la piel seca y limpia.,"Lesiones redondeadas, escamosas, con picazón en la piel.","Infección fúngica superficial que afecta piel, cabello o uñas."
Bronquitis Aguda,"Reposo, hidratación, medicamentos para aliviar la tos; en casos bacterianos, antibióticos.","Tos persistente, producción de moco, fatiga, dificultad para respirar.","Inflamación de los bronquios, generalmente causada por infecciones virales."
